pop,Ageclass,Origin,med.surv,lcl.surv,ucl.surv
Caucasus/Middle East,adult,wild,0.937690486708367,0.891985246561046,0.968167233563013
Caucasus/Middle East,juvenile,captive,0.502430338018435,0.342913104699005,0.672417730495009
Caucasus/Middle East,juvenile,wild,0.633077932685852,0.402493613341737,0.797955591945847
Italy/Balkans,adult,wild,0.867091699529563,0.777638506003269,0.929024106126219
Italy/Balkans,juvenile,captive,0.228079615899624,0.0980665636328454,0.419369647835297
Italy/Balkans,juvenile,wild,0.364338550770793,0.218443660295959,0.551440722994096
western europe,adult,wild,0.988563415802157,0.965697016254078,0.997222765185537
western europe,juvenile,captive,0.887417377486229,0.68283214658858,0.975614946386208
western europe,juvenile,wild,0.921542769008703,0.794424059892084,0.982746233853696
