Population,surv,lcl,ucl,Ageclass,Origin,stage
Caucasus/Middle East,0.992254218763272,0.987271434071652,0.995481042268536,adult,wild,stationary
Caucasus/Middle East,0.990525067150827,0.983528416144431,0.995209794210125,adult,captive,stationary
Italy/Balkans,0.992254218763272,0.987271434071652,0.995481042268536,adult,wild,stationary
Italy/Balkans,0.990525067150827,0.983528416144431,0.995209794210125,adult,captive,stationary
western Europe,0.999084785737324,0.99758715320062,0.999612351486778,adult,wild,stationary
western Europe,0.998896146369491,0.996487999729579,0.999608285447369,adult,captive,stationary
Caucasus/Middle East,0.991412361826071,0.980543362808928,0.996731915169465,adult,wild,migrating
Caucasus/Middle East,0.989480237482194,0.975370058237067,0.99650664593543,adult,captive,migrating
Italy/Balkans,0.991412361826071,0.980543362808928,0.996731915169465,adult,wild,migrating
Italy/Balkans,0.989480237482194,0.975370058237067,0.99650664593543,adult,captive,migrating
western Europe,0.998969689815035,0.9966595578221,0.999696269590094,adult,wild,migrating
western Europe,0.998805404338077,0.995184035911435,0.999666784063018,adult,captive,migrating
Caucasus/Middle East,0.935690163192228,0.904843604883497,0.959374389602475,juvenile,wild,stationary
Caucasus/Middle East,0.923499474287357,0.886006336820584,0.951664690074298,juvenile,captive,stationary
Italy/Balkans,0.935690163192228,0.904843604883497,0.959374389602475,juvenile,wild,stationary
Italy/Balkans,0.923499474287357,0.886006336820584,0.951664690074298,juvenile,captive,stationary
western Europe,0.992278864858372,0.981156533566281,0.996485573128973,juvenile,wild,stationary
western Europe,0.990597155418658,0.973927668700762,0.99624843163725,juvenile,captive,stationary
Caucasus/Middle East,0.929541019247469,0.865406900304107,0.967833151233902,juvenile,wild,migrating
Caucasus/Middle East,0.917735797816276,0.837340043466124,0.961358990242746,juvenile,captive,migrating
Italy/Balkans,0.876827504692784,0.784499318295088,0.944154901938518,juvenile,wild,migrating
Italy/Balkans,0.854459179178467,0.735520175633577,0.93020671034412,juvenile,captive,migrating
western Europe,0.991308524025156,0.976048415577482,0.997146673405353,juvenile,wild,migrating
western Europe,0.989559367281066,0.963418271162336,0.996655251542226,juvenile,captive,migrating
