"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","parameter"
0.749367707854612,0.146458566934946,0.509798377020614,0.622529961249917,0.753833675601279,0.875759054993475,0.987620914700641,1.00317115378616,452,0,1,"mean.phi[1]"
0.91403303875743,0.0296116223163954,0.848707873754916,0.89612048742021,0.91760030572915,0.936615010060142,0.96040849829832,1.01620212186789,388,0,1,"mean.phi[2]"
0.0630625273580816,0.00524153658871727,0.0534711437028559,0.0594491129385589,0.0628987597214666,0.0666219268044054,0.0732865729868643,1.00290592977376,549,0,1,"p.seen.alive"
0.412825792927381,0.0114075979533844,0.3903848267532,0.40483601575707,0.412766185358715,0.420414853933339,0.435415862435434,0.998636421760784,800,0,1,"p.found.dead"
0.0757913622136248,0.00987841764613209,0.0564885835874821,0.0690250440383952,0.0757145417550783,0.0822972357799526,0.0951694180394812,1.00844174266067,298,0,1,"b.phi.age"
1.1770670188595,0.584029979834969,0.0634050523372733,0.7628787022455,1.14163589019761,1.54850805550265,2.42721446577901,1.00532372915469,356,0,0.98,"b.phi.mig"
-0.0753688967277282,0.369670271643423,-0.803492190018011,-0.322407254005056,-0.0831449737471295,0.164054203025779,0.67113098827512,1.01224708086183,182,1,0.6,"b.phi.capt"
-0.550856193277777,0.153283235538802,-0.864002565630546,-0.650633257642964,-0.548583822792187,-0.446094485583445,-0.265171677718596,1.00042321127093,800,0,1,"b.phi.lat"
-0.156616727277075,0.229266008013851,-0.609910406913812,-0.311668126665238,-0.154471555795071,0.00473897704254259,0.27543143455661,1.00106594469844,800,1,0.74125,"b.phi.lat2"
-0.283550411910026,0.398725111459451,-1.06900777173888,-0.560940089020136,-0.277175643974018,-0.00788678163879539,0.433037766322278,1.00173933182482,602,1,0.7575,"b.phi.resident"
0.0540412932112919,0.0445980635312054,-0.0211622143732539,0.0216707791761747,0.0508098085119095,0.0823727701866904,0.155461327709907,1.00268088117166,528,1,0.9,"b.phi.free"
-0.410768221688092,0.146731528123161,-0.691703199830139,-0.505542772026942,-0.408683559070134,-0.312313904951196,-0.123911838207549,1.00308522177607,738,0,0.9975,"b.phi.long"
3897.76381022835,10.4426990652856,3880.29708092311,3889.89893760763,3896.68542207176,3904.61377881834,3920.51528938374,1.00231777969947,619,0,1,"deviance"
